iter	Passed	Remaining
477	619	676
478	620	674
479	620	672
480	622	672
481	624	670
482	624	668
483	625	667
484	626	665
485	627	663
486	627	661
487	628	659
488	629	657
489	630	655
490	631	654
491	631	652
492	632	650
493	633	648
494	634	646
495	634	645
496	635	643
497	637	642
498	638	640
499	639	639
500	639	637
501	640	635
502	641	633
503	642	631
504	642	630
505	643	628
506	644	626
507	645	624
508	645	623
509	646	621
510	647	619
511	648	617
512	648	616
513	649	614
514	650	612
515	652	612
516	653	610
517	654	609
518	655	607
519	656	605
520	656	603
521	657	602
522	658	600
523	659	598
524	659	597
525	660	595
526	661	593
527	662	591
528	662	590
529	663	588
530	664	586
531	665	585
532	666	583
533	667	582
534	668	580
535	669	579
536	669	577
537	670	575
538	671	574
539	672	572
540	672	570
541	673	569
542	674	567
543	675	565
544	675	564
545	676	562
546	677	561
547	678	559
548	678	557
549	679	556
550	681	555
551	682	553
552	683	552
553	684	550
554	684	549
555	685	547
556	686	545
557	687	544
558	687	542
559	688	541
560	689	539
561	690	537
562	690	536
563	691	534
564	692	533
565	693	531
566	693	529
567	694	528
568	696	527
569	698	526
570	699	525
571	699	523
572	700	522
573	701	520
574	702	519
575	702	517
576	703	515
577	704	514
578	705	512
579	706	511
580	706	509
581	707	508
582	708	506
583	709	505
584	710	503
585	711	502
586	712	501
587	713	499
588	714	498
589	715	497
590	716	496
591	718	495
592	719	494
593	720	492
594	721	491
595	722	489
596	723	488
597	723	486
598	724	485
599	726	484
600	728	483
601	728	481
602	729	480
603	730	478
604	731	477
605	731	475
606	732	474
607	733	472
608	734	471
609	734	469
610	735	468
611	736	466
612	737	465
613	737	463
614	738	462
615	739	460
616	740	459
617	741	458
618	742	457
619	743	455
620	744	454
621	745	452
622	746	451
623	746	450
624	747	448
625	748	447
626	749	445
627	749	444
628	750	442
629	751	441
630	752	439
631	752	438
632	753	436
633	754	435
634	756	434
635	757	433
636	758	432
637	759	430
638	759	429
639	760	427
640	761	426
641	762	424
642	762	423
643	763	422
644	764	420
645	765	419
646	765	417
647	766	416
648	767	415
649	768	413
650	768	412
651	770	411
652	771	409
653	772	408
654	772	407
655	773	405
656	774	404
657	775	402
658	776	401
659	776	400
660	777	398
661	778	397
662	779	396
663	779	394
664	780	393
665	781	392
666	782	390
667	783	389
668	784	387
669	786	387
670	787	386
671	788	384
672	789	383
673	790	382
674	790	380
675	791	379
676	792	378
677	793	376
678	793	375
679	794	373
680	795	372
681	796	371
682	796	369
683	797	368
684	798	367
685	799	365
686	801	365
687	802	363
688	803	362
689	804	361
690	805	360
691	807	359
692	807	357
693	808	356
694	809	355
695	810	353
696	810	352
697	811	351
698	812	349
699	813	348
700	813	347
701	815	346
702	817	345
703	817	343
704	818	342
705	819	341
706	819	339
707	820	338
708	821	337
709	822	335
710	822	334
711	823	333
712	824	331
713	825	330
714	826	329
715	826	327
716	827	326
717	828	325
718	829	324
719	831	323
720	832	322
721	833	320
722	834	319
723	835	318
724	835	317
725	836	315
726	837	314
727	838	313
728	838	311
729	839	310
730	840	309
731	841	307
732	841	306
733	842	305
734	843	304
735	845	303
736	847	302
737	848	301
738	848	299
739	849	298
740	850	297
741	851	295
742	851	294
743	852	293
744	853	292
745	854	290
746	854	289
747	855	288
748	856	287
749	857	285
750	857	284
751	858	283
752	860	282
753	861	281
754	862	279
755	863	278
756	864	277
757	865	276
758	866	274
759	866	273
760	867	272
761	868	271
762	869	269
763	869	268
764	870	267
765	871	266
766	872	264
767	872	263
768	873	262
769	875	261
770	877	260
771	878	259
772	878	258
773	879	256
774	880	255
775	881	254
776	881	253
777	882	251
778	883	250
779	884	249
780	884	248
781	885	246
782	886	245
783	887	244
784	888	243
785	889	242
786	891	241
787	892	240
788	893	238
789	894	237
790	895	236
791	895	235
792	896	234
793	897	232
794	898	231
795	899	230
796	899	229
797	900	227
798	901	226
799	902	225
800	903	224
801	903	223
802	905	222
803	906	221
804	907	219
805	908	218
806	909	217
807	911	216
808	912	215
809	913	214
810	913	212
811	914	211
812	915	210
813	916	209
814	916	208
815	917	206
816	918	205
817	919	204
818	921	203
819	922	202
820	922	201
821	923	200
822	924	198
823	925	197
824	925	196
825	926	195
826	927	194
827	928	192
828	928	191
829	929	190
830	930	189
831	931	188
832	932	186
833	932	185
834	934	184
835	936	183
836	937	182
837	937	181
838	938	180
839	939	178
840	940	177
841	940	176
842	941	175
843	942	174
844	943	172
845	943	171
846	944	170
847	945	169
848	946	168
849	946	167
850	947	165
851	949	165
852	951	163
853	952	162
854	952	161
855	953	160
856	954	159
857	955	158
858	955	156
859	956	155
860	957	154
861	958	153
862	958	152
863	959	151
864	960	149
865	961	148
866	961	147
867	962	146
868	963	145
869	965	144
870	966	143
871	967	142
872	968	140
873	969	139
874	970	138
875	970	137
876	971	136
877	972	135
878	972	133
879	973	132
880	974	131
881	975	130
882	976	129
883	976	128
884	977	127
885	978	125
886	981	125
887	982	123
888	983	122
889	983	121
890	984	120
891	985	119
892	986	118
893	987	117
894	987	115
895	988	114
896	989	113
897	990	112
898	990	111
899	991	110
900	992	109
901	993	107
902	994	106
903	995	105
904	996	104
905	997	103
906	999	102
907	1001	101
908	1001	100
909	1002	99
910	1003	98
911	1004	96
912	1005	95
913	1005	94
914	1006	93
